date,season,ldh_region,region_name,ed_visits,source_updated
2023-05-31,2023,1,Southeast,0,9/3/2026
2023-05-31,2023,2,Capital Region,1,9/3/2026
2023-05-31,2023,3,South Central,2,9/3/2026
2023-05-31,2023,9,Northshore,3,9/3/2026
2023-06-01,2023,1,Southeast,1,9/3/2026
2023-06-01,2023,2,Capital Region,1,9/3/2026
2023-06-01,2023,3,South Central,1,9/3/2026
2023-06-01,2023,9,Northshore,7,9/3/2026
2023-06-02,2023,1,Southeast,1,9/3/2026
2023-06-02,2023,2,Capital Region,1,9/3/2026
2023-06-02,2023,3,South Central,1,9/3/2026
2023-06-02,2023,9,Northshore,0,9/3/2026
2023-06-03,2023,1,Southeast,3,9/3/2026
2023-06-03,2023,2,Capital Region,2,9/3/2026
2023-06-03,2023,3,South Central,2,9/3/2026
2023-06-03,2023,9,Northshore,1,9/3/2026
2023-06-04,2023,1,Southeast,2,9/3/2026
2023-06-04,2023,2,Capital Region,3,9/3/2026
2023-06-04,2023,3,South Central,1,9/3/2026
2023-06-04,2023,9,Northshore,1,9/3/2026
2023-06-05,2023,1,Southeast,2,9/3/2026
2023-06-05,2023,2,Capital Region,3,9/3/2026
2023-06-05,2023,3,South Central,1,9/3/2026
2023-06-05,2023,9,Northshore,2,9/3/2026
2023-06-06,2023,1,Southeast,2,9/3/2026
2023-06-06,2023,2,Capital Region,1,9/3/2026
2023-06-06,2023,3,South Central,0,9/3/2026
2023-06-06,2023,9,Northshore,1,9/3/2026
2023-06-07,2023,1,Southeast,0,9/3/2026
2023-06-07,2023,2,Capital Region,1,9/3/2026
2023-06-07,2023,3,South Central,2,9/3/2026
2023-06-07,2023,9,Northshore,0,9/3/2026
2023-06-08,2023,1,Southeast,4,9/3/2026
2023-06-08,2023,2,Capital Region,4,9/3/2026
2023-06-08,2023,3,South Central,1,9/3/2026
2023-06-08,2023,9,Northshore,0,9/3/2026
2023-06-09,2023,1,Southeast,0,9/3/2026
2023-06-09,2023,2,Capital Region,1,9/3/2026
2023-06-09,2023,3,South Central,1,9/3/2026
2023-06-09,2023,9,Northshore,1,9/3/2026
2023-06-10,2023,1,Southeast,10,9/3/2026
2023-06-10,2023,2,Capital Region,2,9/3/2026
2023-06-10,2023,3,South Central,3,9/3/2026
2023-06-10,2023,9,Northshore,2,9/3/2026
2023-06-11,2023,1,Southeast,5,9/3/2026
2023-06-11,2023,2,Capital Region,2,9/3/2026
2023-06-11,2023,3,South Central,2,9/3/2026
2023-06-11,2023,9,Northshore,3,9/3/2026
