date,ldh_region,high_f,low_f,average_f,peak_heat_index_f,morning_low_f,hi_hours_105,hi_hours_108,hi_2day_mean_f,hi_3day_mean_f,consecutive_hi108_days,temperature_hours,heat_index_hours,expected_hours,weather_sources,fallback_used,source_count,population_2020
2023-02-09,9,,,,,,,,,,,,,,,,0,596392
2023-02-10,1,,,,,,,,,,,,,,,,0,892057
2023-02-10,2,,,,,,,,,,,,,,,,0,696328
2023-02-10,3,,,,,,,,,,,,,,,,0,343394
2023-02-10,9,,,,,,,,,,,,,,,,0,596392
2023-02-11,1,,,,,,,,,,,,,,,,0,892057
2023-02-11,2,,,,,,,,,,,,,,,,0,696328
2023-02-11,3,,,,,,,,,,,,,,,,0,343394
2023-02-11,9,,,,,,,,,,,,,,,,0,596392
2023-02-12,1,,,,,,,,,,,,,,,,0,892057
2023-02-12,2,,,,,,,,,,,,,,,,0,696328
2023-02-12,3,,,,,,,,,,,,,,,,0,343394
2023-02-12,9,,,,,,,,,,,,,,,,0,596392
2023-02-13,1,,,,,,,,,,,,,,,,0,892057
2023-02-13,2,,,,,,,,,,,,,,,,0,696328
2023-02-13,3,,,,,,,,,,,,,,,,0,343394
2023-02-13,9,,,,,,,,,,,,,,,,0,596392
2023-02-14,1,,,,,,,,,,,,,,,,0,892057
2023-02-14,2,,,,,,,,,,,,,,,,0,696328
2023-02-14,3,,,,,,,,,,,,,,,,0,343394
2023-02-14,9,,,,,,,,,,,,,,,,0,596392
2023-02-15,1,,,,,,,,,,,,,,,,0,892057
2023-02-15,2,,,,,,,,,,,,,,,,0,696328
2023-02-15,3,,,,,,,,,,,,,,,,0,343394
2023-02-15,9,,,,,,,,,,,,,,,,0,596392
2023-02-16,1,,,,,,,,,,,,,,,,0,892057
2023-02-16,2,,,,,,,,,,,,,,,,0,696328
2023-02-16,3,,,,,,,,,,,,,,,,0,343394
2023-02-16,9,,,,,,,,,,,,,,,,0,596392
2023-02-17,1,,,,,,,,,,,,,,,,0,892057
2023-02-17,2,,,,,,,,,,,,,,,,0,696328
2023-02-17,3,,,,,,,,,,,,,,,,0,343394
2023-02-17,9,,,,,,,,,,,,,,,,0,596392
2023-02-18,1,,,,,,,,,,,,,,,,0,892057
2023-02-18,2,,,,,,,,,,,,,,,,0,696328
2023-02-18,3,,,,,,,,,,,,,,,,0,343394
2023-02-18,9,,,,,,,,,,,,,,,,0,596392
2023-02-19,1,,,,,,,,,,,,,,,,0,892057
2023-02-19,2,,,,,,,,,,,,,,,,0,696328
2023-02-19,3,,,,,,,,,,,,,,,,0,343394
2023-02-19,9,,,,,,,,,,,,,,,,0,596392
2023-02-20,1,,,,,,,,,,,,,,,,0,892057
2023-02-20,2,,,,,,,,,,,,,,,,0,696328
2023-02-20,3,,,,,,,,,,,,,,,,0,343394
2023-02-20,9,,,,,,,,,,,,,,,,0,596392
2023-02-21,1,,,,,,,,,,,,,,,,0,892057
2023-02-21,2,,,,,,,,,,,,,,,,0,696328
2023-02-21,3,,,,,,,,,,,,,,,,0,343394
2023-02-21,9,,,,,,,,,,,,,,,,0,596392
2023-02-22,1,,,,,,,,,,,,,,,,0,892057
2023-02-22,2,,,,,,,,,,,,,,,,0,696328
2023-02-22,3,,,,,,,,,,,,,,,,0,343394
2023-02-22,9,,,,,,,,,,,,,,,,0,596392
2023-02-23,1,,,,,,,,,,,,,,,,0,892057
2023-02-23,2,,,,,,,,,,,,,,,,0,696328
2023-02-23,3,,,,,,,,,,,,,,,,0,343394
2023-02-23,9,,,,,,,,,,,,,,,,0,596392
2023-02-24,1,,,,,,,,,,,,,,,,0,892057
2023-02-24,2,,,,,,,,,,,,,,,,0,696328
2023-02-24,3,,,,,,,,,,,,,,,,0,343394
2023-02-24,9,,,,,,,,,,,,,,,,0,596392
2023-02-25,1,,,,,,,,,,,,,,,,0,892057
2023-02-25,2,,,,,,,,,,,,,,,,0,696328
2023-02-25,3,,,,,,,,,,,,,,,,0,343394
2023-02-25,9,,,,,,,,,,,,,,,,0,596392
2023-02-26,1,,,,,,,,,,,,,,,,0,892057
2023-02-26,2,,,,,,,,,,,,,,,,0,696328
2023-02-26,3,,,,,,,,,,,,,,,,0,343394
2023-02-26,9,,,,,,,,,,,,,,,,0,596392
2023-02-27,1,,,,,,,,,,,,,,,,0,892057
2023-02-27,2,,,,,,,,,,,,,,,,0,696328
2023-02-27,3,,,,,,,,,,,,,,,,0,343394
2023-02-27,9,,,,,,,,,,,,,,,,0,596392
2023-02-28,1,,,,,,,,,,,,,,,,0,892057
2023-02-28,2,,,,,,,,,,,,,,,,0,696328
2023-02-28,3,,,,,,,,,,,,,,,,0,343394
2023-02-28,9,,,,,,,,,,,,,,,,0,596392
2023-03-01,1,,,,,,,,,,,,,,,,0,892057
2023-03-01,2,,,,,,,,,,,,,,,,0,696328
2023-03-01,3,,,,,,,,,,,,,,,,0,343394
2023-03-01,9,,,,,,,,,,,,,,,,0,596392
2023-03-02,1,,,,,,,,,,,,,,,,0,892057
2023-03-02,2,,,,,,,,,,,,,,,,0,696328
2023-03-02,3,,,,,,,,,,,,,,,,0,343394
2023-03-02,9,,,,,,,,,,,,,,,,0,596392
2023-03-03,1,,,,,,,,,,,,,,,,0,892057
2023-03-03,2,,,,,,,,,,,,,,,,0,696328
2023-03-03,3,,,,,,,,,,,,,,,,0,343394
2023-03-03,9,,,,,,,,,,,,,,,,0,596392
2023-03-04,1,,,,,,,,,,,,,,,,0,892057
2023-03-04,2,,,,,,,,,,,,,,,,0,696328
2023-03-04,3,,,,,,,,,,,,,,,,0,343394
2023-03-04,9,,,,,,,,,,,,,,,,0,596392
2023-03-05,1,,,,,,,,,,,,,,,,0,892057
2023-03-05,2,,,,,,,,,,,,,,,,0,696328
2023-03-05,3,,,,,,,,,,,,,,,,0,343394
2023-03-05,9,,,,,,,,,,,,,,,,0,596392
2023-03-06,1,,,,,,,,,,,,,,,,0,892057
2023-03-06,2,,,,,,,,,,,,,,,,0,696328
2023-03-06,3,,,,,,,,,,,,,,,,0,343394
2023-03-06,9,,,,,,,,,,,,,,,,0,596392
2023-03-07,1,,,,,,,,,,,,,,,,0,892057
2023-03-07,2,,,,,,,,,,,,,,,,0,696328
2023-03-07,3,,,,,,,,,,,,,,,,0,343394
2023-03-07,9,,,,,,,,,,,,,,,,0,596392
2023-03-08,1,,,,,,,,,,,,,,,,0,892057
2023-03-08,2,,,,,,,,,,,,,,,,0,696328
2023-03-08,3,,,,,,,,,,,,,,,,0,343394
2023-03-08,9,,,,,,,,,,,,,,,,0,596392
2023-03-09,1,,,,,,,,,,,,,,,,0,892057
2023-03-09,2,,,,,,,,,,,,,,,,0,696328
2023-03-09,3,,,,,,,,,,,,,,,,0,343394
2023-03-09,9,,,,,,,,,,,,,,,,0,596392
2023-03-10,1,,,,,,,,,,,,,,,,0,892057
2023-03-10,2,,,,,,,,,,,,,,,,0,696328
2023-03-10,3,,,,,,,,,,,,,,,,0,343394
2023-03-10,9,,,,,,,,,,,,,,,,0,596392
2023-03-11,1,,,,,,,,,,,,,,,,0,892057
2023-03-11,2,,,,,,,,,,,,,,,,0,696328
2023-03-11,3,,,,,,,,,,,,,,,,0,343394
2023-03-11,9,,,,,,,,,,,,,,,,0,596392
2023-03-12,1,,,,,,,,,,,,,,,,0,892057
2023-03-12,2,,,,,,,,,,,,,,,,0,696328
2023-03-12,3,,,,,,,,,,,,,,,,0,343394
2023-03-12,9,,,,,,,,,,,,,,,,0,596392
2023-03-13,1,,,,,,,,,,,,,,,,0,892057
2023-03-13,2,,,,,,,,,,,,,,,,0,696328
2023-03-13,3,,,,,,,,,,,,,,,,0,343394
2023-03-13,9,,,,,,,,,,,,,,,,0,596392
2023-03-14,1,,,,,,,,,,,,,,,,0,892057
2023-03-14,2,,,,,,,,,,,,,,,,0,696328
2023-03-14,3,,,,,,,,,,,,,,,,0,343394
2023-03-14,9,,,,,,,,,,,,,,,,0,596392
2023-03-15,1,,,,,,,,,,,,,,,,0,892057
2023-03-15,2,,,,,,,,,,,,,,,,0,696328
2023-03-15,3,,,,,,,,,,,,,,,,0,343394
2023-03-15,9,,,,,,,,,,,,,,,,0,596392
